Title,startDate,endDate,placeOfPublication,status,series,UID
1st Of The Worst,1970,1970,"Tacoma, WA",LIVE,GI Underground Press,BBCFJBCI
0 to 9,1967,1969,"New York, NY",LIVE,Literary Magazines,DFADGDA
